estado,data,primeiro_estadiamento,custo_estadiamento,numero_pacientes,numero_municipios,obitos,obitos_futuros,numero_procedimentos,numero_diagnosticos
Rondônia,200801,1,1437.6999999999998,13,7,0,0,13,13
Rondônia,200801,2,16342.739999999998,51,19,0,2,51,51
Rondônia,200801,3,50873.49,72,25,0,2,75,72
Rondônia,200801,4,34338.46,27,11,1,2,28,27
Rondônia,200801,0,2105.58,1,1,0,0,1,1
Acre,200801,1,319.0,4,2,0,0,4,4
Acre,200801,3,6025.67,8,4,0,1,8,8
Acre,200801,2,3189.65,5,2,0,0,5,5
Amazonas,200801,3,78350.6,132,13,0,1,134,132
Amazonas,200801,2,81726.50999999997,269,15,0,2,275,269
Amazonas,200801,1,17267.42,79,3,0,1,80,79
Amazonas,200801,4,20822.030000000002,31,2,0,1,32,31
Roraima,200801,1,79.75,1,1,0,0,1,1
Roraima,200801,2,612.15,6,1,0,0,6,6
Roraima,200801,3,2839.9,4,1,0,0,4,4
Pará,200801,2,46848.88,295,29,0,1,297,295
Pará,200801,1,21271.570000000003,117,24,0,0,119,117
Pará,200801,3,78769.16999999998,160,29,0,1,162,160
Pará,200801,4,34286.41,41,7,0,0,42,41
Pará,200801,0,277.2,1,1,0,0,1,1
Amapá,200801,1,159.5,2,1,0,0,2,2
Amapá,200801,2,3401.3500000000004,4,2,0,0,4,4
Amapá,200801,3,301.5,1,1,0,0,1,1
Amapá,200801,4,2378.9,1,1,0,0,1,1
Tocantins,200801,3,14506.010000000002,40,17,0,2,40,40
Tocantins,200801,2,17028.14,60,27,0,1,62,60
Tocantins,200801,1,4293.3,24,13,0,1,24,24
Tocantins,200801,4,36693.840000000004,26,14,0,4,26,26
Tocantins,200801,0,4050.55,5,3,0,0,5,5
Maranhão,200801,1,81810.79,256,74,0,8,263,256
Maranhão,200801,3,101484.79999999997,207,49,0,4,218,207
Maranhão,200801,2,42631.89000000001,200,48,0,4,207,200
Maranhão,200801,4,63948.170000000006,56,19,0,3,56,56
Maranhão,200801,0,79.75,1,1,0,0,1,1
Piauí,200801,1,221178.0899999999,715,132,0,14,732,715
Piauí,200801,3,10644.460000000001,16,11,0,0,17,16
Piauí,200801,2,6967.990000000001,12,9,0,0,14,12
Piauí,200801,4,3209.65,3,3,0,0,3,3
Piauí,200801,0,507.9,3,2,0,0,3,3
Ceará,200801,2,370509.0499999999,1606,131,0,2,1628,1606
Ceará,200801,3,508175.49000000086,1148,133,0,4,1171,1148
Ceará,200801,1,112283.45999999999,725,75,0,0,728,725
Ceará,200801,4,197030.54999999987,299,72,0,2,307,299
Ceará,200801,0,181137.14999999985,438,59,0,0,449,438
Rio Grande do Norte,200801,1,37213.32,280,48,0,2,281,280
Rio Grande do Norte,200801,2,163136.26999999993,536,93,0,7,547,536
Rio Grande do Norte,200801,4,117450.47999999997,79,35,0,6,81,79
Rio Grande do Norte,200801,3,341907.62000000017,468,87,0,9,475,468
Rio Grande do Norte,200801,,6131.4,2,1,0,0,3,0
